"ENTREZID","statistic"
"3437",29.8429534089217
"79132",29.6956599900035
"5734",28.4963077396513
"3434",27.4672419248431
"5366",27.3548551838641
"9314",27.1740357956338
"495",27.0074846938896
"100134229",27.0010230829446
"43",26.1784335259909
"3433",25.5506184381023
"467",25.5418399596501
"57664",25.273906587635
"7128",25.1659595820094
"64135",25.1533774190748
"9586",25.0003184907221
"55080",24.844133622227
"152926",24.700461069925
"2043",23.5004430580481
"23586",23.4914506839975
"6352",23.4525296692987
"23645",23.3753195227911
"3604",23.2470852555542
"3669",23.0228904705011
"56829",22.9084462957888
"6328",22.899826063543
"223117",22.7971516862703
"10561",22.7535522564406
"54674",22.7237616981772
"253018",22.5304431642402
"27113",22.370832940019
"129607",22.2003251365936
"4599",22.1675066525636
"8638",22.1243843905651
"9839",22.0302704473705
"27012",21.7148672150393
"390940",21.6553084638356
"115361",21.6207008545733
"8556",21.3405476682148
"51191",21.3132799853472
"11248",21.2856202535721
"10866",21.1835231876021
"220213",21.0070515162495
"10385",20.9460545512196
"2353",20.9313328857331
"100128822",20.8206221774242
"23764",20.7258539972265
"2633",20.6627711632711
"25819",20.6412717923585
"23780",20.5203149028413
"7185",20.2585182586349
"101752400",20.1357858498934
"112577464",20.0848039261062
"84879",20.0084968343949
"105371745",19.9971090931076
"3659",19.9518285518082
"8542",19.9163698325301
"3310",19.9094642522231
"4050",19.8908274039323
"93082",19.8613482425142
"9023",19.7384346665387
"81796",19.5991643248958
"10202",19.5338867367903
"9636",19.3394122237339
"9308",19.292987539869
"3219",19.252099328794
"282616",19.2515569036801
"604",19.2381451443454
"6991",19.2057040173193
"55603",19.1401133767913
"2534",19.0385037063607
"59344",19.010951754506
"5187",18.9354302860953
"9026",18.8943765253078
"10060",18.8772699268533
"80319",18.8373579154301
"51804",18.811089632026
"4084",18.7619456487567
"149465",18.7573503341306
"23138",18.7252811288729
"7025",18.5787753546037
"4939",18.5560763247872
"57529",18.5227598409509
"8605",18.5182850708553
"116496",18.5147383440133
"9235",18.4653598225949
"26353",18.45026972303
"8322",18.4103422493557
"115362",18.3640654015821
"7538",18.3581324107448
"3134",18.330509337798
"2669",18.3154637247318
"154064",18.2656816753698
"6373",18.2411824892344
"441094",18.1100837789534
"286006",17.9800301380149
"101927612",17.9366170777327
"55008",17.9078145163465
"389170",17.900305168982
"1540",17.8378355127865
"23237",17.8306021457492
"88",17.786555010013
"3780",17.7581195853475
"4146",17.7100033798972
"115830329",17.7031759330859
"54809",17.6754478453714
"83667",17.674227637389
"337874",17.6432564828377
"9001",17.5996828926745
"121268",17.5309780129393
"3725",17.5306332982078
"102723166",17.4551319416839
"1960",17.4400514151585
"100144748",17.3472441827146
"8365",17.333871507791
"100132498",17.2328100194461
"1948",17.2025705326008
"440689",17.1282027736375
"440896",17.0259641032384
"57035",17.0250996723461
"3696",17.0063245854054
"441072",16.8530908260575
"337873",16.839919500192
"105372295",16.7971873837364
"355",16.7871364665579
"10370",16.7867401506743
"100506462",16.7667560862084
"2117",16.760460790887
"7403",16.7517167985904
"107986119",16.7025950093882
"11033",16.6963367410366
"80818",16.6019909460532
"6262",16.5796632356473
"1649",16.4914922970668
"1850",16.4600454313278
"4824",16.4449771280337
"1746",16.4385864528977
"254048",16.3944935920277
"286103",16.362728696398
"378805",16.2991361468527
"728769",16.2298774936695
"23270",16.2270961584134
"145741",16.1076807966739
"100128398",16.1045033268188
"147138",16.0461314843235
"7832",15.9892568881119
"8120",15.9690945577465
"5016",15.9566202200203
"8349",15.9046904543309
"2191",15.8482883899478
"3717",15.8210194716816
"9734",15.8140847115481
"9925",15.7746859543732
"90874",15.6926255204177
"79094",15.6855859549831
"161176",15.6268347780086
"84807",15.62328487092
"729467",15.6153655499528
"1961",15.5695503883545
"3383",15.567217765729
"6843",15.4738123900163
"55601",15.4626633618246
"1647",15.458818907768
"285",15.4274960930803
"4792",15.416680697265
"221935",15.3912116737264
"163087",15.3863204686804
"654434",15.3442575460177
"4327",15.3379204762101
"101927300",15.335656687058
"1408",15.3341409262324
"91947",15.3171129388712
"23405",15.2863325437038
"1302",15.2590160142993
"54625",15.2494078957469
"100270804",15.1666763331079
"314",15.1597180724535
"23542",15.1514719491501
"374897",15.1247201245138
"8676",15.1014944486792
"401588",15.0846167230235
"80117",15.080262901787
"109729180",15.0539315171377
"161779",15.0221000606567
"23099",14.9473450994982
"4804",14.8958840264848
"79935",14.8840526388284
"3456",14.8768576373094
"2027",14.8658422042862
"8507",14.8597868706728
"2625",14.8253523617164
"440944",14.8194096101626
"6236",14.8170326781116
"81848",14.7334722833338
"79924",14.6624638207778
"25822",14.5975741682258
"9283",14.5942729390597
"83591",14.5886709922638
"100505538",14.5520847937967
"134006662",14.544881349298
"57684",14.5383313088649
"8639",14.5368058771118
"50632",14.5231186802182
"92162",14.4942918043936
"8367",14.4836016323802
"116435302",14.4530992450896
"22889",14.4483958139219
"105370941",14.4367477237572
"8651",14.4366491378026
"283726",14.4199813983822
"123720",14.393551876596
"55279",14.3130855677341
"90133",14.3124698262575
"286059",14.3058192278977
"101929609",14.3036704101658
"22849",14.2673667521855
"284415",14.2660463899549
"3214",14.2438441419683
"100132529",14.2330653841504
"8353",14.1846854174101
"10782",14.178191163212
"56265",14.1643681861665
"124961",14.1211499202694
"10252",14.0950605756137
"131583",14.0863732445521
"5526",14.0759193537217
"3684",14.0681061660296
"100507458",14.0626614329861
"4868",14.0520058788559
"112755",14.0058216093925
"3213",13.992019322412
"101928403",13.9818107034364
"9572",13.9757865671707
"644656",13.9205834862456
"389692",13.916770851195
"118568825",13.9163157423434
"196441",13.9124969640589
"6364",13.9009949483944
"58499",13.8595819791678
"256815",13.8593675779472
"29126",13.8448284756072
"10468",13.8281245843791
"100507468",13.8259930913787
"100128893",13.8171211383412
"3106",13.7914252060312
"100133957",13.7810766060696
"386597",13.7519029624753
"93474",13.738392235639
"4791",13.659365664713
"64645",13.64932409287
"284309",13.6168987666069
"2537",13.607613565953
"9744",13.587033631366
"144535",13.5853760425946
"388512",13.5652963805336
"9949",13.5535348637715
"60436",13.545719622173
"51277",13.544532703454
"51265",13.544171274164
"1316",13.4977488333893
"158135",13.4471374185688
"7008",13.4381495254948
"109729173",13.4342036596512
"27233",13.3585880137577
"85477",13.3540867223667
"54553",13.3403342844523
"26953",13.3257291499117
"7940",13.3204740747807
"338440",13.3134235824943
"93953",13.308350309225
"101928550",13.2686649723282
"651746",13.2664654808711
"89795",13.2598543291806
"126298",13.2584549338811
"9852",13.2494119384215
"84622",13.2437149831448
"100289274",13.2300841443938
"163049",13.2162522524535
"112935960",13.1883408253372
"170954",13.1832936582884
"84446",13.1555611984907
"65986",13.1527713843532
"6844",13.1370033508438
"100874364",13.1357694854624
"282618",13.1251449239398
"126272",13.1148700288592
"80217",13.107300726437
"2686",13.0693070756111
"3575",13.0661036536791
"374786",13.0298054143195
"2113",13.020632021784
"1594",13.018281780959
"64782",13.0152880494202
"5228",13.0124915100427
"8877",13.0034910009681
"55432",13.0001602249372
"116984",12.9767739879158
"3552",12.9647755012644
"3138",12.9522564394089
"8503",12.947208194011
"1848",12.9427313700604
"84707",12.9031771160811
"330",12.8911797221167
"152302",12.8889379480383
"100630918",12.8887528613024
"100874363",12.8721909884611
"100126791",12.8510175551659
"5606",12.8419085222838
"6580",12.7901994090653
"388324",12.7583225069331
"80149",12.755244882526
"79365",12.7540796222041
"91543",12.7521509166279
"100506302",12.7479493874085
"105369921",12.7454197223157
"7675",12.740543706181
"202299",12.7251551593504
"6204",12.7089968552041
"8793",12.6996148538449
"79891",12.6945263773151
"285429",12.6760695157738
"646719",12.6752493734774
"1959",12.6386127341364
"100130581",12.625526406455
"723809",12.6213769917551
"80853",12.6101469671369
"221060",12.5761728599802
"65996",12.5700067411686
"80328",12.5436909504217
"6776",12.5250073012382
"148022",12.5177633327381
"285172",12.5117821700817
"23308",12.4816659203943
"83988",12.4776264048744
"105372480",12.4706783391538
"10458",12.4449823126993
"161253",12.4376038497929
"152048",12.4286321080535
"27063",12.4256046766729
"24138",12.4214161981387
"116435298",12.4189204665815
"102725068",12.4186123924571
"400512",12.4077911880722
"57593",12.3979710177412
"101928053",12.3970509044065
"57718",12.3893263764513
"144811",12.3853047482921
"5329",12.3626433951737
"5971",12.355659751127
"221833",12.3482795823124
"221079",12.3350358297149
"390627",12.3105089050978
"148523",12.3100885098658
"93166",12.3033813061258
"105377633",12.3029026450279
"7633",12.2967251792063
"2921",12.2937407067818
"353174",12.2841900537312
"144486",12.2821345318578
"91807",12.2795554604971
"7771",12.2792637508181
"23642",12.2719304746491
"1839",12.2533109161358
"101929709",12.2499074262042
"1031",12.2422285004332
"9825",12.224164173205
"2920",12.2206242787583
"4741",12.2170255480591
"7693",12.214578308007
"106614088",12.2100760183463
"23037",12.1897181814585
"1113",12.1783732402038
"51513",12.1753947076658
"102546294",12.1615618782586
"105371730",12.1608525565869
"618",12.1589981084246
"129450",12.1584158875087
"55800",12.155676245096
"200765",12.1470073669806
"114789",12.1441277566173
"116931",12.119972177916
"10984",12.1063057848307
"728621",12.0961775402406
"3663",12.0923085278992
"220930",12.0841358602851
"1203",12.0818245764126
"1879",12.070296919232
"11221",12.0643910406095
"202333",12.0615647397088
"56963",12.0537576841703
"160760",12.0528442265528
"6404",12.0485368852095
"3475",12.0185197045616
"1195",12.0054583737604
"285989",12.0014409329906
"5295",11.9956122883446
"11274",11.9909355014131
"4487",11.9866044335874
"60494",11.9862858355007
"128312",11.974104455001
"8061",11.959152599168
"205860",11.9461688677951
"8739",11.928894426395
"139324",11.9167285818347
"4992",11.9160968636675
"128667229",11.904853640519
"2649",11.9003298989225
"221078",11.9000055962283
"119863861",11.8947665792586
"148898",11.8936823352135
"151963",11.8761530099535
"200035",11.8746048895857
"80271",11.8714450494294
"199704",11.8687721871145
"503569",11.8633748612312
"148014",11.8599217581773
"10253",11.8529247605396
"101410535",11.8486968895191
"130502",11.8294958333202
"64167",11.8166391422101
"150962",11.8149644624024
"169270",11.8077680889968
"120935",11.7986032396729
"93643",11.7917127103546
"101929741",11.7846971425899
"162394",11.7670238974526
"220202",11.762528086274
"83856",11.762283851082
"6299",11.7602191053763
"56681",11.7583982489595
"146434",11.7560235956492
"57169",11.7401997129546
"2643",11.7262599205681
"9751",11.7103010021647
"338758",11.6905967282631
"54891",11.6854706909531
"55599",11.6805461153088
"118732298",11.6628601639522
"221895",11.6570319656858
"51585",11.6568349268494
"338799",11.6494749111217
"100506235",11.649326293004
"107985049",11.6406358988008
"27314",11.6362537075824
"92283",11.6226066752559
"100288797",11.6150783953342
"11120",11.6108359743722
"100287036",11.6079389623936
"7223",11.5947414167068
"7571",11.5852978821469
"374928",11.5711234063664
"27111",11.5663601257144
"100506311",11.566087157268
"10365",11.5567092313395
"8435",11.5243901843318
"100505894",11.5088103555996
"100509894",11.493801173488
"8535",11.4870034942045
"8859",11.4804958266229
"11200",11.4801321809809
"105377035",11.4794623688393
"102238594",11.4782229285992
"23135",11.46714181613
"6349",11.4303300041113
"2827",11.4165070398122
"3872",11.4161579007913
"9507",11.3945842367337
"125228",11.379679205631
"728673",11.3564597774812
"55521",11.3544426149058
"56155",11.3535739231999
"84915",11.3436359854095
"9830",11.3401765892618
"100128025",11.3386008600616
"64061",11.3374276397738
"222166",11.3351160575639
"5336",11.3229800099098
"80726",11.3193075190495
"728178",11.3182569376461
"1428",11.2982844988734
"23552",11.2941855683404
"200734",11.2804396609258
"3429",11.2796628313556
"64773",11.2664983716046
"90639",11.2654988434402
"83636",11.2591601436345
"140699",11.2565057755994
"9592",11.2500326097705
"23034",11.2485058035565
"1947",11.2197785170352
"482",11.2061290468101
"197135",11.2017366970918
"100506469",11.2011447617211
"4616",11.1980458488709
"400579",11.1964199429454
"100507283",11.1934567288736
"23205",11.1795295125079
"7552",11.1757474250013
"101927765",11.1622041834095
"64577",11.1568052161133
"7159",11.1561755915805
"9422",11.1385217267871
"51298",11.1335623868471
"84759",11.1194504812952
"389741",11.0947362989413
"6866",11.0852785343576
"81575",11.0778219455207
"134266",11.0740537342044
"140831",11.0587982183834
"80095",11.0416151336765
"7507",11.0354031263312
"6469",11.004425991083
"57396",11.0037060050106
"119863865",10.9785246455609
"124904411",10.9707368538133
"7038",10.9658816638191
"113730",10.949514065995
"9819",10.9461979134409
"6909",10.9368339668919
"84060",10.9156061035104
"80895",10.9151672922768
"8817",10.915023825519
"1407",10.9060066362224
"401093",10.8942670007761
"83931",10.8918849383543
"23409",10.891217270755
"83873",10.8902918649577
"169841",10.8891023251933
"84858",10.8819092067341
"79609",10.8742145294439
"647310",10.8548525054345
"155054",10.8475269245508
"54807",10.8472289073882
"399473",10.8435311318785
"400242",10.8412406546355
"643977",10.8286536472444
"85403",10.8265407994377
"51561",10.8258099046035
"3656",10.8046862885899
"9881",10.773218525924
"10628",10.773022552512
"163033",10.7585391555047
"400499",10.7441329469346
"26512",10.7408057769553
"642636",10.7382075915543
"100129196",10.7325657637497
"25876",10.7288388886957
"9753",10.7181888337209
"654433",10.7135495029634
"64170",10.7126004333471
"56243",10.6929902772602
"3164",10.6823062105792
"100506540",10.6813700301134
"80311",10.6647835853262
"7673",10.6487453832615
"202781",10.6311657564915
"51301",10.6064530406867
"170261",10.6056733949384
"64651",10.5960559793197
"100506282",10.5907333640844
"8915",10.58902417145
"64106",10.5739380231699
"90204",10.5603465549903
"54790",10.5541672692645
"554251",10.5430884761889
"121227",10.5366635459776
"9762",10.5220910753008
"91851",10.5175890726585
"6385",10.5111000566002
"8193",10.5006165315299
"246329",10.4917719727095
"124901671",10.488304996636
"11237",10.4866079616271
"101929467",10.4731010299045
"80314",10.469689091702
"10318",10.4635045902736
"57683",10.4554104639013
"100129726",10.4474154335519
"119863870",10.4367177697627
"92344",10.4365877693971
"64112",10.4356795189067
"283596",10.4277668967072
"26993",10.4071319875138
"85313",10.4050055672836
"6507",10.4028673817001
"79191",10.4027916135859
"130399",10.3947373993099
"64332",10.3859169411319
"85446",10.3805966378137
"78989",10.3790444427518
"10230",10.3673177068164
"170850",10.3607642036583
"10019",10.3519814600442
"6609",10.3502646872125
"105374003",10.3477048647714
"23176",10.322803352906
"400765",10.3013035253111
"137994",10.2997293607406
"155100",10.2918675230134
"55602",10.2908287466073
"3750",10.289837960057
"1326",10.287634848379
"2902",10.2817109953898
"90634",10.277324053706
"145837",10.2728848236613
"163255",10.2682137441392
"9388",10.256698553581
"117981787",10.2546843832204
"342945",10.238323847652
"10769",10.2381533139007
"7752",10.2378101307194
"343450",10.2359456587287
"78987",10.2347580147057
"3766",10.2345427339036
"1263",10.2340855822459
"22862",10.22339146744
"341208",10.2209422055001
"843",10.2046696521898
"8178",10.2010299679119
"283487",10.1966191440095
"27173",10.1884520414866
"399959",10.179924913193
"57711",10.1770763323374
"1958",10.1730449152096
"124900193",10.1694797229959
"3547",10.1642283058032
"81602",10.1531012499738
"10520",10.1529697683356
"2825",10.1507453966807
"121536",10.1492705811326
"163183",10.143957997283
"2797",10.1372010196288
"27074",10.1351250331805
"6351",10.1287001551504
"8614",10.1035390868142
"7439",10.0991885814419
"7769",10.0898462426885
"124590",10.066957151449
"51244",10.0596701446027
"79696",10.0579009163765
"165082",10.0464790392014
"51655",10.0442244826082
"100505573",10.0419686645326
"653604",10.0383433056127
"143282",10.0382519731244
"9021",10.0365965816765
"203102",10.034858620873
"130132",10.0325926542838
"3198",10.0280868071729
"692225",10.0151636522143
"1028",10.0112733968282
"178",10.0072250376749
"5991",9.99643453699654
"116442",9.99047970700829
"4921",9.98795458507091
"6540",9.98446566114025
"201181",9.97981546497702
"10723",9.97163083034065
"3976",9.97157293455208
"79230",9.96955662988523
"7695",9.96872965783889
"80115",9.96297141727736
"2297",9.96173137064156
"51762",9.95375417515064
"387264",9.95164583831204
"2919",9.94902884957323
"664",9.94861275955684
"25799",9.94661264059786
"783",9.94350215712146
"8780",9.9405967622648
"124902453",9.93446092779164
"90799",9.92143841628777
"6046",9.91372143309513
"100271515",9.91330924082569
"4940",9.8729742120721
"9546",9.87130158632957
"266812",9.86777552322283
"100499177",9.86511446843859
"51332",9.86053081056776
"80705",9.83855752043555
"8341",9.83463908618818
"101927151",9.8343952515059
"123879",9.8249995769289
"494115",9.81956369114319
"105372988",9.81628547114115
"79989",9.81027123939134
"105370526",9.80746658331035
"27",9.795923935964
"79074",9.79486014831685
"9935",9.7947217914626
"767",9.78878617876252
"63908",9.7771551735034
"65267",9.77447031709461
"55811",9.76492602885369
"8741",9.76415011135508
"7262",9.75834627860586
"4600",9.75259297102351
"100132677",9.72649167954077
"440",9.71654825120867
"10780",9.70902323427253
"4170",9.70839914574551
"2128",9.70133651226747
"9132",9.69979353513112
"201163",9.68491427474699
"64109",9.68152657139068
"3587",9.68029198772024
"105369865",9.67723091280427
"644353",9.67441443813032
"1831",9.66033402979251
"112543478",9.66006728112692
"176",9.65696446272753
"145957",9.65270724691289
"1797",9.65017927397009
"9567",9.64663399114079
"535",9.64410113734193
"445815",9.64391752503726
"148423",9.63016145322796
"150274",9.62638960074767
"103695433",9.6249572756974
"1139",9.62267442331145
"100874249",9.62019122590998
"101927021",9.61912236128431
"4790",9.61883668599702
"100288711",9.61669391631647
"51276",9.60441708250985
"597",9.6023720527058
"360200",9.60222181255212
"10148",9.59986347556677
"84851",9.59716015990631
"205564",9.59444613786831
"117134601",9.58988084568479
"8744",9.58530424147161
"153222",9.57911385450673
"342892",9.57563412919803
"29915",9.57526935595758
"125919",9.57451024345315
"10308",9.57032018257668
"282617",9.56580482547225
"1130",9.55445732534151
"56978",9.55278946633016
"57763",9.54834997769603
