"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Immune system","hsa04613","Neutrophil extracellular trap formation","45/1188","195/9410",0.230769230769231,1.82789432789433,4.44053974350455,3.32460891992137e-05,0.000585131169906162,0.000585131169906162,"H2BC8/HDAC9/H3C12/H2BC26/H2AC12/NCF1/AQP9/SELPLG/H2BC18/H4C16/H4C9/GP1BA/H3C13/H2BC11/H4C3/H2BC9/CR1L/PLCB4/H3C6/H2AC20/H4C12/PIK3R1/PIK3R3/H3C2/H2BC21/PRKCG/H4C8/TLR2/H2AC11/H4C5/NFKB1/H2BK1/H3-3B/H2AC8/H2BC13/PLCG2/H3C10/H3-5/FCGR1A/ITGAM/AGER/H2BC6/H4C14/H2AC21/H2BC15",45
"Human Diseases","Substance dependence","hsa05034","Alcoholism","44/1188","191/9410",0.230366492146597,1.82470428543727,4.37687602915581,4.2383093437197e-05,0.000710421375709207,0.000710421375709207,"H2BC8/HDAC9/H3C12/H2BC26/BRAF/H2AC12/H2BC18/H4C16/H4C9/H3C13/MAOA/FOSB/H2BC11/H4C3/SLC6A3/H2BC9/GNGT1/H3C6/H2AC20/H4C12/H3C2/H2BC21/H4C8/H2AC11/H4C5/H2BK1/H3-3B/GNG8/PPP1R1B/H2AC8/H2BC13/GRIN1/H3C10/H3-5/CREB5/CAMK4/H2BC6/H4C14/CALML6/H2AC21/GNAO1/SHC4/H2BC15/ADCY5",44
"Organismal Systems","Immune system","hsa04620","Toll-like receptor signaling pathway","29/1188","109/9410",0.26605504587156,2.10738887344392,4.42017842811383,5.77070922018731e-05,0.00092331347522997,0.00092331347522997,"TRAF6/CCL3/CXCL8/IFNB1/CXCL11/IL1B/TNF/CXCL10/MAP2K3/CCL5/PIK3R1/PIK3R3/CCL4/JUN/TLR2/IRF5/NFKB1/CCL4L2/TAB2/CCL3L1/CXCL9/MAP3K8/IRF7/NFKBIA/IL6/IL12A/IRF9/TICAM1/FOS",29
"Human Diseases","Infectious disease: viral","hsa05164","Influenza A","40/1188","173/9410",0.23121387283237,1.83141628228333,4.19534155229993,8.55619518007268e-05,0.00130946987103721,0.00130946987103721,"OAS2/CXCL8/IFNB1/IL1B/NXF1/NLRP3/PABPN1/RIGI/TNF/CXCL10/HLA-DOB/ICAM1/CCL5/PIK3R1/IFIH1/PIK3R3/IFNGR2/HLA-DOA/BCL2L2-PABPN1/OAS3/MX1/NFKB1/SOCS3/PLG/TNFRSF10B/FAS/RSAD2/MX2/CASP3/NXF3/IRF7/NFKBIA/IL6/IL12A/JAK2/IL1A/IRF9/KPNA7/NFKBIB/TICAM1",40
"Environmental Information Processing","Signal transduction","hsa04630","JAK-STAT signaling pathway","39/1188","168/9410",0.232142857142857,1.83877465127465,4.16973230407887,9.52693995166972e-05,0.00139728452624489,0.00139728452624489,"OSM/PDGFA/LIF/IFNB1/CSF3/IL7/IL13/IL12RB2/CRLF2/MPL/CLCF1/PIK3R1/PIK3R3/IFNGR2/IFNLR1/IL10RA/PRLR/SOCS4/GFAP/IL7R/IFNL2/MCL1/SOCS3/CCND2/SOCS1/IL23A/CDKN1A/STAT5A/IL5/IFNL3/CSF2/IFNL1/IL15RA/TSLP/IL6/IL12A/JAK2/IRF9/IL20RB",39
"Environmental Information Processing","Signaling molecules and interaction","hsa04081","Hormone signaling","47/1188","219/9410",0.214611872146119,1.69991390311025,3.98360724151227,0.000149729885094355,0.00210819678212851,0.00210819678212851,"SSTR2/NPPB/RAPGEF3/MC5R/MCHR1/SLCO1C1/AVPR1A/SMAD9/GCG/IGF2/NPPC/GNRH1/ADRB2/GIPR/MPL/CALCR/GNGT1/VIPR2/PLCB4/PIK3R1/CRHR2/UCN/GPER1/MLNR/PIK3R3/OPRD1/SSTR1/PRLR/AMHR2/GNA15/OXTR/IRS2/ESR1/DRD4/GNG8/OXT/IAPP/GNRH2/STAT5A/CALCB/ADRA2B/JAK2/HEPHL1/THRB/ADRB1/GNAO1/ADCY5",47
"Human Diseases","Infectious disease: viral","hsa05167","Kaposi sarcoma-associated herpesvirus infection","43/1188","196/9410",0.219387755102041,1.73774307702879,3.9673479646746,0.000169098753162723,0.00228933696589533,0.00228933696589533,"MAP1LC3C/CLEC2B/ANGPT2/NFATC4/PIK3R5/CXCL8/IFNB1/NFATC1/GNGT1/ICAM1/PIK3R1/PIK3R3/JUN/CD200R1/CXCL2/NFKB1/HLA-A/CCR4/HLA-G/CXCL3/TCF7L2/GNG8/FAS/PLCG2/HLA-B/CDKN1A/HLA-C/RCAN1/CXCL1/HLA-F/CASP3/CSF2/IRF7/NFKBIA/IL6/MAP1LC3A/JAK2/ZFP36/CALML6/IRF9/FGF2/TICAM1/FOS",43
"Cellular Processes","Cell growth and death","hsa04115","p53 signaling pathway","21/1188","75/9410",0.28,2.21784511784512,4.02491532616402,0.000275249606409658,0.00358843931319258,0.00358843931319258,"RPRM/BBC3/MDM2/GADD45A/PPM1D/RCHY1/CHEK2/PMAIP1/SESN2/SESN1/ZNF385A/CD82/GADD45G/GORAB/CCND2/TNFRSF10B/ZMAT3/GADD45B/FAS/CDKN1A/CASP3",21
"Human Diseases","Cancer: specific types","hsa05224","Breast cancer","34/1188","148/9410",0.22972972972973,1.81966056966057,3.82035509169225,0.000321981700005882,0.00404776994293109,0.00404776994293109,"FGF21/GADD45A/BRAF/WNT10A/FGF20/WNT7A/DLL1/NOTCH4/FGF8/WNT16/PIK3R1/HEY1/PIK3R3/DLL4/FZD4/GADD45G/RPS6KB2/JUN/WNT8B/TCF7L2/ESR1/HES1/HEY2/GADD45B/CDKN1A/FGF19/FGF18/NFKB2/WNT2B/FGF1/FGF2/FGF5/SHC4/FOS",34
"Environmental Information Processing","Signal transduction","hsa04020","Calcium signaling pathway","51/1188","254/9410",0.200787401574803,1.5904119939553,3.62585436260015,0.000443682044067591,0.00538538205213076,0.00538538205213076,"RET/GRPR/FGF21/PDGFA/MYLK4/NFATC4/FGF20/ITPKC/AVPR1A/NFATC1/CHRM5/CAMK1G/NGF/SLC8A3/ADRB2/RYR2/CHRNA7/PLCB4/FGF8/HTR7/CACNA1E/ATP2A1/CACNA1C/PRKCG/HRC/SPHK1/GNA15/OXTR/CHRM3/CACNA1F/MYLK3/P2RX2/PHKG1/CXCR4/CASQ1/GDNF/PLCG2/GRIN1/FGF19/FGF18/HRH1/SLC8A2/CAMK4/FGF1/STIM2/CALML6/MRLN/FGF2/ADRB1/MST1/FGF5",51
