"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"GO:0034764","positive regulation of transmembrane transport",123,-0.339653782848737,-1.46797627239257,0.0154112059621247,0.0642224599980818,0.0231277599920995,2811,"tags=30%, list=17%, signal=25%","PTPN11/KCNH2/SRI/CAV1/P2RY6/FLNA/THY1/PPP3CB/PTPRM/ARL6IP1/APPL1/GSTO1/ATPSCKMT/DRD1/FHL1/ATP1B3/C2CD5/AKT1/F2/OPN3/IRS1/INSR/NIPSNAP2/TESC/ACTN4/TCAF1/ATP1B1/CLTCL1/WNK2/CHP1/STIM1/SLC7A5/PLCG1/ITGB1/ASPH/F2R/G6PD",0.380730400722792
"GO:0060560","developmental growth involved in morphogenesis",146,-0.330650197311076,-1.46777799293177,0.00675937844248494,0.0352976423106673,0.0127113691950211,4399,"tags=38%, list=26%, signal=28%","PUM2/OLFM1/ULK1/MAP1B/EIF2AK4/PAFAH1B1/ABL1/SYT3/SEMA6C/PAK1/SSNA1/IMPACT/ULK2/PPP2R3A/CTTN/BMPR2/EPHA7/KIAA0319/NKD1/RTN4/ALCAM/USP9X/CYFIP2/MEGF8/RTN4R/PPP3CB/NRP2/SLC23A2/CYFIP1/DNM2/SHTN1/BSG/CDH2/CFL1/SLC9A6/JUP/CLASP2/CACNG7/COBL/SPP1/BMP4/TWF2/SLIT3/ITGA4/SYT17/PTPRS/LIMK1/NRP1/CDK5/NRCAM/RNF157/WNT7B/CDH1/SEMA3F/APP",0.407017918923954
"GO:0050868","negative regulation of T cell activation",80,0.322982842260021,1.46716360049157,0.0210524008520716,0.0817083280595254,0.0294247620033999,1648,"tags=20%, list=10%, signal=18%","BTN2A2/IRF1/FYN/IFNB1/SOCS1/CD274/IFNL1/ZC3H12A/STAT5A/SDC4/IL4I1/LAPTM5/LAG3/RUNX1/RC3H1/HAVCR2",0.352487857583619
"GO:0045834","positive regulation of lipid metabolic process",114,-0.346079311968361,-1.46694162126564,0.012667993230339,0.0560480061658341,0.0201839797895913,3233,"tags=31%, list=19%, signal=25%","ABCD1/AKT2/AGTR1/LDLR/ELOVL5/PITPNM2/EEF1A2/TAFAZZIN/GPLD1/ACSL3/MTOR/SIRT3/MAPK1/DAB2/ABHD6/ADORA1/CPT1A/CES1/AKT1/IRS1/BMP6/APOH/KPNB1/CAPN2/POR/SCAP/SCARB1/SREBF2/PITPNM1/CHP1/LDLRAP1/RXRA/SREBF1/SCP2/MBTPS2",0.380730400722792
"GO:0007584","response to nutrient",120,-0.343205965121826,-1.4663419585032,0.0183604586488053,0.0730972005440371,0.0263237270937199,3113,"tags=28%, list=19%, signal=23%","AQP3/BCKDHB/TPCN2/ASS1/ALAD/MTOR/FASN/CYP26B1/TFRC/IGFBP2/CPT1A/GSTP1/PDK2/SPP1/TSPO/ARSB/EEF2/CAT/POR/SCAP/CDON/GCLM/PLD1/RXRA/SFRP1/SREBF1/GCLC/GNAI2/SLC27A4/NNT/KANK2/AKR1C3/CYP24A1",0.352487857583619
"GO:0002753","cytoplasmic pattern recognition receptor signaling pathway",165,0.284606416328739,1.46533193438676,0.00624627009209028,0.0334453275830846,0.0120443145469954,2415,"tags=25%, list=14%, signal=21%","DHX58/TNFAIP3/IFIH1/RIGI/ZC3HAV1/OASL/IRF1/GBP5/CYLD/DDX60/BIRC3/RSAD2/TICAM1/LACC1/IRF5/PLCG2/IRAK2/RIOK3/OAS3/IRF7/IRGM/TRAF6/TNF/TRIM15/NOD2/GBP2/TIFA/RNF39/HAVCR2/CGAS/SLC15A3/ZCCHC3/USP15/TNIP2/NLRC3/MEFV/NLRP3/BIRC2/NLRP1/SLC15A2/IRF2",0.407017918923954
"GO:0099024","plasma membrane invagination",42,-0.409564625284113,-1.46518189993551,0.0407178535564465,0.134961092960488,0.0486021209146273,5752,"tags=60%, list=34%, signal=39%","VAMP7/GATA2/SH3BP1/HAVCR1/SNX9/ARHGAP12/XKR8/CDC42/SPIRE2/GULP1/ITGB2/ELMO1/ABCA7/RAC1/SNX33/AURKB/PLK1/MYH9/GSN/RAB31/APPL2/SNX18/DOCK1/RHOA/F2RL1",0.321775918075361
"GO:0072666","establishment of protein localization to vacuole",52,-0.397527910686772,-1.46346972192034,0.0280108017860162,0.101543473798875,0.0365677847104356,3624,"tags=33%, list=22%, signal=26%","MON2/RAB7A/LAMP2/STAM2/ZFYVE16/VPS36/GNPTG/VPS41/MVB12B/IGF2R/MVB12A/HSPA8/SORL1/GNPTAB/NAGPA/SCARB2/CLU",0.352487857583619
"GO:0034762","regulation of transmembrane transport",270,-0.309594249932499,-1.46331253651719,0.00208682183868223,0.0153189917745961,0.00551666761276954,4154,"tags=35%, list=25%, signal=27%","FFAR4/CD63/SLC43A1/ZDHHC7/SLC25A27/TRPC6/STK39/SLC43A2/GRIN2D/PRKCI/ARPP19/FKBP1A/CACNB3/PRNP/DIAPH1/PPP3CA/ANK3/YWHAE/KCNQ1/CAMK2D/NRBP1/UBQLN1/TGFB1/AKT2/AMIGO1/CERS1/CACNA1D/PTPN11/UBASH3B/KCNH2/SRI/CAV1/P2RY6/NRBP2/SLN/VDAC1/PDE4B/FLNA/THY1/PPP3CB/PTPRM/ARL6IP1/APPL1/GSTO1/ARL6IP5/CALM2/GNB2/AFG3L2/ATPSCKMT/DRD1/FHL1/PSEN2/WWP2/ATP1B3/C2CD5/AKT1/PCSK9/F2/OPN3/IRS1/PTPN3/STOM/CACNG7/INSR/BIN1/APPL2/NIPSNAP2/TESC/SESTD1/ACTN4/CACNG6/TCAF1/ATP1B1/TMBIM6/CLTCL1/CALM3/UTRN/WNK2/MCUB/CHP1/STIM1/YWHAQ/SNTA1/SLC7A5/PLCG1/SELENON/KCNAB2/DAPK1/ITGB1/UCP2/ASPH/F2R/CACNG4/G6PD",0.431707695803346
"GO:0003012","muscle system process",349,-0.301626356476638,-1.46293072093272,0.00129199415776258,0.0107757810604879,0.00388056885553464,5141,"tags=41%, list=31%, signal=29%","SNTB1/SUMO1/PDGFB/STAC/RPL18A/NOL3/ADRA2C/RPL27/HSBP1/AKAP6/NOTCH1/DOCK4/CCDC78/TWF1/KCNJ12/RPL11/PDE4D/GPD1L/RPL34/PKP2/TRPM4/RPL37A/RPL35A/PRKACA/RPL18/RPL12/PRKCA/RPL6/RPL19/MYOCD/RPL37/TACR1/TOMM70/RPL14/RPLP2/SULF2/RPL41/GNAI1/RPL24/PAK1/UBA52/GLRX3/FKBP1A/CACNB3/ALDOA/PPP3CA/KCNQ1/CTTN/CAMK2D/ARRB1/ANKRD2/TPM1/SMAD3/TPCN2/RPL28/CERS1/RPL8/RPL27A/CACNA1D/RPL15/KCNH2/SRI/ROCK1/STUB1/SOD1/CAV1/RPLP1/MTPN/CALD1/SLN/RPL7A/RAP1GDS1/GSN/RYR1/RPL7/PDE4B/RPL5/RPL10/RPL10A/RPL13A/FLNA/CACNA1G/ROCK2/HDAC2/RPL9/RPL13/RPL23A/GSTO1/CALM2/RPL21/HMOX1/EHD3/BDKRB2/TMOD3/DOCK5/ADORA1/HDAC4/TPM3/TPM4/MB/INPP5F/ARRB2/DSG2/PAK2/JUP/MYH14/PDLIM5/RPL4/BIN1/TNNT1/SCN9A/HTR1D/NPNT/SETD3/ADRA1B/EEF2/GJA1/HSP90AA1/GNAS/DSP/RPLP0/ATP1B1/MYOF/CALM3/UTRN/TNFRSF1A/GAA/NPR3/SNTA1/ATP2A2/GAMT/ATP1A1/CAMK2G/DAG1/CYBA/CACNA1H/ENO1/PARP1/MYLK/ASPH/F2R/G6PD",0.45505986738723
