"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: viral","hsa05164","Influenza A","21/60","173/9410",0.121387283236994,19.0375722543353,19.1812637705324,4.48818395315801e-22,1.57984075151162e-19,1.57984075151162e-19,"STAT1/MX1/IRF9/IFIH1/STAT2/MX2/EIF2AK2/OAS1/RSAD2/IFNB1/ADAR/RIGI/CASP1/TRIM25/OAS3/TNFSF10/TLR3/IRF7/CCL5/PML/OAS2",21
"Human Diseases","Infectious disease: viral","hsa05168","Herpes simplex virus 1 infection","19/60","180/9410",0.105555555555556,16.5546296296296,16.8786081442989,8.91855139051366e-19,1.5696650447304e-16,1.5696650447304e-16,"STAT1/TAP2/BST2/HLA-F/IRF9/IFIH1/STAT2/TAP1/EIF2AK2/OAS1/SP100/IFNB1/RIGI/OAS3/TLR3/IRF7/CCL5/PML/OAS2",19
"Human Diseases","Infectious disease: viral","hsa05160","Hepatitis C","15/60","156/9410",0.0961538461538462,15.0801282051282,14.2051464290839,2.78440629672691e-14,3.26703672149291e-12,3.26703672149291e-12,"STAT1/MX1/IRF9/STAT2/MX2/EIF2AK2/OAS1/RSAD2/IFNB1/RIGI/IFIT1/OAS3/TLR3/IRF7/OAS2",15
"Human Diseases","Infectious disease: viral","hsa05162","Measles","14/60","136/9410",0.102941176470588,16.1446078431373,14.2506769310855,8.67265761807726e-14,7.63193870390799e-12,7.63193870390799e-12,"STAT1/MX1/IRF9/IFIH1/STAT2/MX2/EIF2AK2/OAS1/IFNB1/ADAR/RIGI/OAS3/IRF7/OAS2",14
"Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease","16/60","239/9410",0.0669456066945607,10.4993026499303,11.9158185796854,1.00589847068355e-12,7.08152523361223e-11,7.08152523361222e-11,"STAT1/MX1/IRF9/IFIH1/STAT2/MX2/EIF2AK2/OAS1/IFNB1/ADAR/RIGI/CASP1/OAS3/TLR3/ISG15/OAS2",16
"Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","14/60","205/9410",0.0682926829268293,10.7105691056911,11.2603339692303,2.4990859888645e-11,1.46613044680051e-09,1.46613044680051e-09,"STAT1/TAP2/HLA-F/IRF9/STAT2/TAP1/EIF2AK2/OAS1/IFNB1/RIGI/OAS3/IRF7/ISG15/OAS2",14
"Organismal Systems","Immune system","hsa04621","NOD-like receptor signaling pathway","13/60","187/9410",0.0695187165775401,10.9028520499109,10.9568708764671,1.13426636230736e-10,5.70373942188842e-09,5.70373942188842e-09,"STAT1/GBP1/IRF9/STAT2/GBP4/OAS1/IFNB1/CASP1/OAS3/IRF7/CCL5/IFI16/OAS2",13
"Organismal Systems","Immune system","hsa04622","RIG-I-like receptor signaling pathway","8/60","72/9410",0.111111111111111,17.4259259259259,11.2075510941395,1.46905207510394e-08,6.46382913045735e-07,6.46382913045735e-07,"IFIH1/IFNB1/ADAR/RIGI/ZNFX1/TRIM25/IRF7/ISG15",8
"Organismal Systems","Immune system","hsa04623","Cytosolic DNA-sensing pathway","8/60","83/9410",0.0963855421686747,15.1164658634538,10.3475037887093,4.58517249857896e-08,1.79331191055533e-06,1.79331191055533e-06,"SAMHD1/IFNB1/ADAR/RIGI/CASP1/IRF7/CCL5/IFI16",8
"Organismal Systems","Immune system","hsa04620","Toll-like receptor signaling pathway","7/60","109/9410",0.0642201834862385,10.0718654434251,7.63109009181527,5.37161889515342e-06,0.0001890809851094,0.0001890809851094,"STAT1/IRF9/STAT2/IFNB1/TLR3/IRF7/CCL5",7
