"ENTREZID","statistic"
"23586",43.1842463876125
"3437",43.1796550503733
"83666",43.0279781420219
"55601",42.3254976777261
"4940",42.2726876509318
"85441",40.7320153843569
"3433",39.5956068608252
"54625",39.5670605301873
"91351",36.6549574352911
"3434",35.9460161757225
"151636",35.7247607136752
"4599",35.1312047690916
"9636",34.5609760342473
"9881",33.3912726457051
"55008",32.5875334996785
"5610",31.8187407685241
"54809",30.6514718146396
"64135",30.3663120172614
"2537",30.1044042611209
"10561",29.0121903056486
"64761",28.5241680889566
"219285",28.0762663745147
"80830",28.0385380812983
"4938",28.0288345475646
"6773",27.3547070160708
"5359",26.7745923506513
"3431",26.1544617934699
"51191",26.0361717041732
"4939",25.7921240936201
"6772",25.2584742356505
"24138",25.1248963310265
"10379",24.8668605375684
"25939",24.6324879233688
"129607",23.6813502820813
"103",23.1758541208592
"3430",23.0957012817728
"9830",22.1882380075713
"7706",21.9391441114273
"57169",21.5279708152185
"8638",21.291207058624
"6672",20.4927653877957
"10346",20.2966607783854
"105374071",20.1603593810661
"87178",20.1121011201147
"84875",19.8813836499781
"8519",19.8213950663241
"3429",19.811368651757
"3665",19.7774834662051
"10964",19.7195717736919
"3428",19.2755453997716
"11274",18.7939313393244
"9246",18.6004444722039
"1141",18.5911595622465
"84166",16.7107684617536
"51056",16.6301348061972
"102723458",16.5317901327897
"6737",16.182870839995
"55337",15.8227190715391
"23424",15.4743177785682
"8542",14.8766261184744
"23780",14.4980138426932
"116071",14.4135800993404
"54739",13.7329338074119
"91543",13.0183038650501
"5371",12.9987650852755
"6891",12.8919060646866
"85363",12.4571742534423
"567",11.9755856939917
"2633",11.9604070551024
"84941",11.8986703208911
"3959",11.6522451834559
"10410",11.2086747688838
"6890",11.1583771865339
"107984251",11.0843863040345
"4615",10.977420712288
"152926",10.8736578649928
"10475",10.8693509502382
"27074",10.8252358959476
"81844",10.5804652026974
"100419583",10.413408323065
"51251",10.3822542403103
"56829",10.1921513304029
