"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"GO:1901654","response to ketone",159,-0.27956451011491,-1.29859371342896,0.0369763607022082,0.215481665935564,0.0588794287747981,3573,"tags=27%, list=17%, signal=23%","TFAP4/ELK1/MAP4K1/HAGH/AR/SFRP1/SCNN1D/YAP1/CA9/SERPINF1/CBL/TRERF1/SLIT2/AANAT/FOXP3/ABHD2/FGF2/TGFB2/INHBB/CALM3/CYBB/ADCY3/PIM3/PARP1/ADAM15/INHBA/FOSB/GATD1/UCP2/SPHK2/SRD5A1/CLDN1/CCND1/CAV1/ITGAM/NEFL/TGFB1/TGFBR3/SLIT3/CAD/PRKCA/PPP1R9B/THBS1",0.321775918075361
"GO:0031589","cell-substrate adhesion",279,-0.262414764832277,-1.29744352279892,0.0228090441506683,0.157990819589124,0.0431703048548525,3936,"tags=27%, list=18%, signal=23%","PRKX/ITGB3/TBCD/ACTN4/DMTN/RCC2/ARHGAP6/MKLN1/ITGB1BP1/UTRN/SRCIN1/SFRP1/TESK1/COL17A1/C1QBP/MYADM/ITGAL/ADAMTS12/ITGA5/SERPINE1/THBS3/GFUS/ITGA6/RHOA/PARVB/TLN1/FBLN1/DOCK5/CCDC80/PKD1/CORO1A/RAC3/UNC13D/CORO2B/KIF14/DUSP3/ADAM15/NID1/MACF1/GSK3A/PLPP3/ITGB5/MICALL2/ACTG1/FERMT3/ZYX/EFEMP2/TRIOBP/TGFB1I1/COL16A1/SORBS3/ITGBL1/PLAU/DAPK3/POLDIP2/RRAS/CIB1/LAMA5/PPM1F/RAB40C/FRAS1/PXN/ITGAM/RADIL/TAOK2/NF2/CFL1/VCL/ITGA10/MELTF/SPOCK1/THBS1/GREM1/ITGA3/FLNA/SMAD3",0.352487857583619
"GO:1901988","negative regulation of cell cycle phase transition",243,-0.265730825410108,-1.29703474319905,0.0261428385484933,0.17175406778228,0.0469310526111889,3063,"tags=29%, list=14%, signal=25%","ZFP36L1/TRIAP1/TMSB4X/CDC45/RHNO1/NABP2/CHEK1/CCAR2/SOX2/ZWILCH/CCNB1/MAD2L1/AVEN/BRD4/TIPIN/DYNLL1/GTPBP4/TP53BP1/DOT1L/MIIP/CLSPN/BUB1B/UIMC1/MRNIP/VPS4A/TOPBP1/DTL/SLFN11/AURKB/XRCC3/RAD9A/DYNC1LI1/BRCA1/MAD2L2/NEK11/BIRC5/INHBA/IK/INTS3/DYNC1H1/TPR/RPA2/CDC20/TIMELESS/H2AX/ZW10/RFWD3/APC/MUS81/PINX1/DGKZ/CCND1/PLK1/TELO2/CDK5RAP3/SPC24/TRIP13/FZR1/INCENP/TAOK2/CRY1/CENPF/E2F1/ATF5/PRKDC/EME2/PKMYT1/SUSD2/FHL1/TEX14",0.352487857583619
"GO:0051222","positive regulation of protein transport",202,-0.269684583489741,-1.2870584134468,0.0436181908323983,0.235578055663729,0.0643706799329542,4651,"tags=31%, list=22%, signal=25%","RACK1/DMAP1/ADCY8/OAZ3/SORL1/NR1H2/BAG3/PHPT1/ABCG1/EMD/GPLD1/MLLT6/ADAM8/RBP4/RAN/SEC31B/CAPN10/ABAT/APBB1/PPARD/ACHE/KIF20B/PARD6A/RIPOR1/BAD/ADORA2A/PLA2G6/NLGN2/POFUT3/B3GAT3/OAZ1/STX4/SIRT6/DYNLL1/TGFB2/ECT2/NADK/BCAP31/F2RL1/PCNT/PTPN23/VPS28/LRRC8A/OAZ2/CEP131/YWHAE/TPR/ANP32B/APBB3/C2CD2L/RXRA/TRIM28/CACNG4/ZPR1/PPARG/IPO5/TGFB1/ATP13A2/ANKRD1/PRKCA/FLNA/SMAD3/HSP90AA1",0.321775918075361
"GO:0009314","response to radiation",305,-0.258538391028545,-1.2826776785977,0.0125266285904759,0.106594176717798,0.0291263955502396,3905,"tags=30%, list=18%, signal=25%","MMP2/KARS1/COPS9/GNAT2/FKBPL/AGRP/MMP9/TAFA2/MAPK14/ELK1/SFRP1/BRSK1/XRCC4/NPHP4/RAD1/COPS3/YAP1/RAD51/TRIAP1/RHNO1/HRAS/NABP2/CBL/USP1/CCAR2/XRCC6/MEN1/TNKS1BP1/AANAT/SWI5/SIRT6/RELA/CRTC1/NPM1/CLK2/UIMC1/MRNIP/ECT2/TOPBP1/HYAL3/PPM1D/CDC25A/DTL/MTA1/DDB2/AURKB/YY1/RAD9A/NOC2L/BRCA1/SMC1A/BCL3/CACNA2D4/PARP1/TIMP1/INTS3/PER1/GNA11/STK11/NDRG4/MSH6/MAPK11/H2AX/GADD45A/MC1R/RFWD3/PNKP/SCARA3/CIRBP/FBXL21P/DDB1/MAP2K7/CCND1/TP53I13/FEN1/UBE4B/ERCC1/GATA3/IKBIP/EEF1D/CRY1/TGFB1/ATF4/HSF1/RUVBL2/AEN/TUBA1A/POLD1/GPX1/EGFR/SMAD3",0.380730400722792
"GO:1903829","positive regulation of protein localization",399,-0.252503239272536,-1.28038268462442,0.00845043741466394,0.0815867524595453,0.0222932255491535,3823,"tags=31%, list=18%, signal=26%","ADAM8/RBP4/RAN/SEC31B/MEPCE/PINK1/ATP2B4/CAPN10/ABAT/APBB1/LIMK2/PPARD/ACHE/CCT8/KIF20B/SNX33/SYT11/PDPK1/ABHD17C/PARD6A/RIPOR1/TESK1/YAP1/NUP62/LRP4/BAD/ADORA2A/GNL3/PLA2G6/NUMA1/CARD10/NLGN2/SESN2/POFUT3/CCT6A/B3GAT3/EPHA2/OAZ1/DDRGK1/CEP128/STX4/SIRT6/NKD2/DYNLL1/CCT2/NPM1/TGFB2/MAP1A/ECT2/NADK/BCAP31/LRP1/F2RL1/PCNT/PTPN23/VPS28/LRRC8A/RTN4/CCDC88A/OAZ2/CCT4/CEP131/EPB41L2/PARP1/ABHD17A/KIF5B/GSK3A/YWHAE/SLC5A3/TPR/MICALL2/GNL3L/ANP32B/BAP1/SIGMAR1/SAE1/APBB3/C2CD2L/RXRA/APC/HUWE1/TYK2/ZDHHC8/EIF4G1/CCT5/EPHB2/TRIM28/PINX1/GIT1/CIB1/CACNG4/ZPR1/MCRS1/PLK1/PPARG/CCT3/ABLIM3/IPO5/EZR/USP36/CDK5RAP3/UBE2J2/ENTR1/CCT7/TGFB1/ATP13A2/NF2/CFL1/ANKRD1/WNT5A/HSP90AB1/PRKCA/SQSTM1/NGFR/DVL1/PPP1R9B/ITGA3/VIM/FLNA/EGFR/SMAD3/HSP90AA1",0.380730400722792
"GO:0003012","muscle system process",339,-0.259023254358449,-1.27838673370139,0.0103928949791873,0.0932384087128772,0.0254769899845075,3991,"tags=26%, list=19%, signal=21%","RPL23A/RPL21/STAC/KCND3/MYL6B/GAMT/MYL6/P2RY1/ATP2B4/ADRB2/ABAT/APBB1/MAP2K1/UTRN/MYLK/SOD1/CAMTA2/RPL27/ATP1A1/KCNQ1/EDN2/GATA4/CALM2/PVALEF/RPL7/MYH3/RPL17/ARRB1/GDNF/LMCD1/RPL36/DOCK5/ANKRD2/EEF2/RPLP1/ADORA1/RPL19/PABPN1/SRF/EHD3/CAMK2G/HAND2/RPL5/RPL13/CALM3/RPL24/YY1/TNNT1/RPL13A/SNTA1/RPL10A/CACNA2D4/PARP1/GSK3A/RPL37A/RPL8/HTR1D/RPL4/RPL23/RPL7A/CACNA1H/CCDC78/ADRA1B/CACNB1/DAPK3/SLC6A8/MYOF/SYNM/BIN1/ARRB2/PPARG/CAV1/SMTN/DMPK/RPL18/PAK1/RPL6/RNF207/OXTR/GJC1/TPM2/SPHK1/PRKCA/CACNA1G/FLNA/SMAD3/HSP90AA1/KCNMA1",0.380730400722792
"GO:0006367","transcription initiation at RNA polymerase II promoter",190,-0.270843331152407,-1.27777446901922,0.0410381226742224,0.226789625304913,0.0619692795302447,5341,"tags=36%, list=25%, signal=27%","KAT7/GTF2A1/TAF1/THRA/PPP2CA/KDM1A/SMARCB1/ERCC3/E2F2/MED20/MED19/GTF2H4/WDR5/ZNHIT1/TAF4B/TAF7/EP400P1/NCOR1/TAF3/TAF6/NCOR2/POLR2H/USP21/MED16/PHF2/ERCC2/MED8/CDK4/SMARCA4/CTNNBIP1/TAF13/SAMD1/ARMC5/MEN1/MED26/VPS72/ATAD2/POLR2I/TRMT112/APOBEC3C/SGF29/POLR2F/SRF/ARID1A/PADI2/NFKBIA/ELOB/PPP2R1A/POLR2L/PPM1D/INTS11/TET3/SIRT7/NOC2L/INTS1/TAF7L/L3MBTL3/SIN3B/MED24/POLR2E/INTS3/INTS5/MED10/SPHK2/KAT8/RBM14/MAZ/DRAP1",0.321775918075361
"GO:0090066","regulation of anatomical structure size",351,-0.256415779452771,-1.27768499777997,0.0190295148697269,0.141279731608579,0.0386040726873598,3956,"tags=28%, list=18%, signal=23%","SEMA3G/MMP2/ELAVL1/DMTN/P2RY1/ITGB1BP1/ADRB2/PEX11B/MAP2K1/PPARD/ANO6/SOD1/CDC42EP1/MTOR/EDN2/MEGF8/GBA2/MYADM/RAP1GAP2/CYRIA/ADORA2A/ARPC5L/TMSB4X/NAA80/TRPV2/RHOA/SHANK3/RARG/ADD1/SH3BP1/BORCS8/SLIT2/DOCK5/SEMA6C/KXD1/HAX1/CARMIL2/CDHR2/PREX1/ADORA1/CDHR5/ADD2/AKT1S1/CYFIP1/RIN3/NCK2/F2RL1/FCHSD1/LRRC8A/RTN4/GNB3/NRCAM/GDI1/NHERF1/ANAPC2/NPR1/MACF1/FLII/SPTAN1/HTR1D/VASP/RPTOR/CCDC51/PLEKHG2/ASXL1/CYFIP2/ESAM/TRIOBP/KANK3/PTPN11/LIMK1/PDXP/EPHA7/KCNMB4/ADRA1B/BAIAP2/CAPG/BIN1/WDR1/ADORA2B/CAV1/EZR/PTPRS/ARHGAP35/PAK1/RAB3B/PFN1/OXTR/ATP13A2/CFL1/ARHGAP5/GPRC5B/WNT7B/VIM/MAP1B/HSP90AA1/KCNMA1/COTL1",0.352487857583619
"GO:0061564","axon development",343,-0.253218846193916,-1.27722424569349,0.0147650414433068,0.11828125842867,0.0323198398379142,2412,"tags=20%, list=11%, signal=18%","SVBP/VANGL2/CELSR3/CDHR2/EFNB1/RAC3/MARK2/MAP1A/CYFIP1/PLXNB3/BOC/TUBB3/PTK7/SEMA3C/MAP7D2/BRSK2/CNTNAP1/STXBP1/RTN4/ENAH/NRCAM/NEUROD2/SSNA1/GDI1/AUTS2/ANAPC2/SMO/KIF5B/MACF1/SEMA6B/TRAK2/TRIO/VASP/B4GALT6/FEZ2/ACTG1/RAB3A/SEMA4C/NECTIN1/CYFIP2/STK11/LIMK1/EPHA7/RAB8A/LHX1/BAIAP2/ARHGEF25/MYPN/PLEKHG4/EPHB2/ZPR1/LLGL1/PTPRS/ARHGAP35/PAK1/TAOK2/METRN/ACTB/SLIT3/KIFC2/PLXNB2/WNT5A/PRKCA/MAPK8IP3/WNT7B/EFNB2/S100A6/VIM/MAP1B/DCLK1",0.380730400722792
"GO:0045229","external encapsulating structure organization",215,-0.262807828999729,-1.27380377650743,0.0465676103562639,0.2460175641463,0.0672232302577099,4008,"tags=26%, list=19%, signal=21%","COL27A1/MPV17/PLOD1/ADAMTS16/COL4A2/MMP2/COL8A2/MMP21/ADAM8/MMP9/QSOX1/COL17A1/COL5A2/ADAMTS12/SPINK5/COL18A1/COL15A1/FGFR4/FBLN1/CCDC80/SH3PXD2B/CARMIL2/HAS3/TGFB2/PRDM5/MMP17/LRP1/P3H4/CCN3/ADAM15/NID1/HRNR/TGM1/AEBP1/HMCN1/GFOD2/EFEMP2/COL16A1/LTBP4/FLOT1/PLAU/COL4A6/COL11A2/ADAMTS8/PPARG/SCX/TGFB1/TGFBR3/MELTF/FSCN1/GREM1/ZNF469/LOXL2/SMAD3/COL7A1",0.321775918075361
"GO:0008544","epidermis development",188,-0.273784014249885,-1.27085740109373,0.0430276484879411,0.23426164176768,0.0640109755567416,3618,"tags=27%, list=17%, signal=22%","PPARD/SOD1/EDA2R/FABP5/KCNQ1/ERCC2/COL17A1/KRT81/ALOX12B/ZFP36L1/NUMA1/GATA6/NTF4/YBX1/SPINK5/EPHA2/ELOVL1/AGPAT2/TMEM79/FLG2/EVPL/TGFB2/CRABP2/SLC39A7/SLC44A4/SLC4A7/ANXA1/EMP1/HRNR/TGM1/LAMA3/INHBA/JAG2/KRT7/GRHL3/ANKRD24/AQP3/TPRN/FLG/PPL/CLDN1/GAL/TCHH/WNT5A/EREG/PLEC/ALOXE3/KRT80/LAMC2/COL7A1",0.321775918075361
"GO:0044089","positive regulation of cellular component biogenesis",406,-0.245473455061177,-1.26918910151517,0.0126433266351541,0.106975479618549,0.0292305849108003,3769,"tags=25%, list=18%, signal=21%","FUZ/PINK1/HTT/ITGB1BP1/ARAP1/EPS8L2/ATG2A/TPPP3/SNX18/IRX3/SFRP1/SYNPO/CDC42EP1/TESK1/NPHP4/NUP62/PDE4DIP/NUMA1/HRAS/PIP4K2A/NLGN2/MNS1/RHOA/EPHA2/PSRC1/NAV3/MIEN1/DLG5/AMIGO3/CARMIL2/HSPA1A/AJUBA/ANLN/HAS3/PIEZO1/VPS4A/CYFIP1/TNIK/SEPTIN7/MECP2/NCK2/F2RL1/IQSEC2/FCHSD1/STXBP1/CCDC88A/AUTS2/DPYSL3/DEF8/DCTN1/PIP4K2B/VASP/DYNC1H1/TPR/SLX4/GNL3L/COL16A1/SEPTIN9/ABCA3/LIMK1/SORBS3/LRRC24/DRG1/HAP1/BAIAP2/APC/PLCE1/BIN1/POLDIP2/EIF4G1/CKAP5/EPHB2/GIT1/CLDN1/BAX/SDC1/PPM1F/CAV1/FHOD1/PXN/ARHGAP35/ERCC1/PAK1/SPAG5/ENTR1/CLU/PSMC5/TRIM65/PFN1/TGFB1/ATP13A2/NF2/CFL1/HGS/PRKCA/FSCN1/CLSTN2/MAP1B/FLNA/SMAD3/HSP90AA1",0.380730400722792
