"","GSM4385296","GSM4385297","GSM4385298","GSM4385299","GSM4385300","GSM4385301"
"64084",79,86,86,46,34,39
"64087",3242,2855,2566,2626,2879,2565
"64089",249,227,214,172,211,215
"64090",47,64,28,35,35,26
"64091",17,23,22,15,15,14
"64092",8,3,4,6,4,3
"64093",1850,1777,1496,1490,1769,1471
"64094",1,2,0,2,1,1
"64096",0,1,0,0,1,2
"64097",2559,2146,2109,1993,2216,2032
"64098",215,163,186,145,174,166
"641",1213,976,972,969,846,812
"64100",0,0,0,0,0,1
"64101",280,263,206,229,278,203
"64102",3,0,0,2,0,0
"64105",1081,824,866,781,795,737
"64106",0,0,1,2,4,0
"64108",7,6,6,15,16,10
"64109",12,8,10,9,8,6
"64110",675,618,569,491,556,462
"64111",0,0,0,0,0,0
"64112",549,472,477,442,449,415
"64114",1367,1323,1124,1107,1042,1033
"64115",370,423,305,240,211,226
"64116",2198,2014,1920,2100,1918,1913
"64118",867,878,698,586,581,519
"64121",690,705,614,521,676,519
"64122",115,132,122,125,109,118
"64123",0,0,0,0,0,1
"64127",8,10,7,12,16,9
"64129",120,98,94,89,86,65
"641298",1894,1633,1497,1503,1626,1500
"64130",106,150,91,101,110,93
"64131",345,316,313,249,269,220
"641311",2,0,0,0,0,0
"64132",1102,1199,972,990,914,837
"641339",227,201,200,167,174,171
"64135",198,155,132,1152,1203,1238
"641364",1385,1179,1032,1086,1287,1120
"641365",1,2,3,1,2,3
"641367",2,3,0,0,2,0
"64137",10,13,9,11,13,10
"641371",401,377,254,323,333,304
"641372",1,2,3,0,1,0
"641373",49,40,27,34,30,30
"641384",635,534,483,480,468,560
"6414",81,73,54,56,77,73
"64145",1405,1253,1131,1109,1054,1095
"641451",36,41,29,25,40,39
"641455",18,16,14,10,13,9
"64146",816,718,637,599,577,526
"641467",117,112,85,120,116,82
"64147",215,179,144,160,163,136
"64149",741,720,714,616,653,575
"6415",556,592,451,473,447,383
"64150",65,68,58,48,53,44
"64151",1540,1300,1349,1292,1213,1092
"641515",2,1,0,4,4,0
"641516",0,0,0,0,0,0
"641517",18,7,9,16,9,6
"641518",0,2,1,3,1,3
"6416",1816,1571,1456,1509,1483,1306
"641638",731,566,638,576,543,503
"641648",34,13,23,29,23,27
"641649",393,368,318,314,256,285
"641654",0,0,0,1,0,0
"64167",155,165,159,228,225,205
"64168",91,87,93,81,79,70
"64170",48,73,52,54,41,43
"641700",16,14,9,25,19,27
"641702",0,0,0,1,0,0
"64172",274,245,239,183,254,235
"64174",1,3,0,1,0,0
"641746",0,0,0,0,0,0
"64175",743,731,648,540,569,512
"641776",198,192,138,138,148,142
"6418",13858,12141,11414,10056,11260,9701
"64180",1,0,0,0,0,0
"641808",424,341,334,328,391,338
"64184",0,0,0,0,0,0
"6419",452,371,356,378,353,336
"641977",320,306,296,286,282,287
"642",1094,1069,954,890,904,814
"642006",0,1,0,0,0,0
"64207",1462,1641,1231,1163,965,949
"64208",161,100,101,108,155,136
"6421",10552,9309,8814,8293,8905,7769
"64210",2062,1952,1642,1578,1678,1493
"64211",1,1,0,0,2,0
"642131",0,0,0,0,0,0
"64215",998,930,892,737,849,829
"64216",807,705,665,649,615,562
"64218",10,13,11,12,10,8
"64219",380,397,364,309,334,291
"6422",629,612,546,540,464,432
"64220",2171,2285,1812,1786,1604,1518
"64221",71,59,41,49,38,41
"64222",983,1032,846,857,834,744
"64223",869,880,721,703,682,601
"642236",190,187,135,145,188,159
"64224",913,792,733,759,825,765
"64225",2371,2053,2034,1831,1966,1781
"642273",321,304,225,243,226,228
"642280",2,0,1,1,0,2
"6423",6,5,1,2,5,2
"64231",0,0,0,2,0,0
"64232",0,0,1,0,0,0
"642345",43,39,38,39,47,30
"64236",290,288,211,216,161,153
"642361",171,126,114,120,115,96
"642366",1,0,2,3,1,2
"642394",0,1,0,0,0,0
"6424",94,74,63,62,70,63
"64240",27,19,22,18,18,19
