"","GSM4385296","GSM4385297","GSM4385298","GSM4385299","GSM4385300","GSM4385301"
"1",117.650727145032,146.128285758743,113.248226171158,127.713975323595,127.920102306939,105.946159196135
"100",519.694578899636,451.251498789578,505.498900454895,460.834594292639,441.530675704595,455.343067183387
"1000",706.750770979147,626.789250864546,748.46782205847,669.434087321177,749.983180460843,705.556336774258
"10000",1980.59497495953,1783.86794124352,1981.84395799526,1797.5742026796,1825.95629905872,1885.6162163312
"100008587",1892.56853162799,1724.12996278869,1656.51269008539,898.254959775952,1364.82496251677,1244.3038271546
"100008588",14432.1046658269,13361.08816579,20338.3518910111,42947.0170519419,16798.7979513403,43671.2322380067
"100008589",9446.76090406977,12296.8331034716,14184.8550926019,28475.9593646509,11543.7576194729,35120.0246867187
"100009667",48.2452622105526,60.6570242772141,33.9744678513473,53.2141563848313,71.1813472514417,64.2439475976561
"100009676",191.288232624296,195.756760167373,177.079044558538,217.113758050112,192.91176718869,196.113103192845
"10001",695.747465562705,665.389175404591,750.526880716127,743.933906259941,721.097996068953,715.700117973888
"10002",270.004186757303,286.742296583194,254.293744220691,257.556516902583,296.073140016866,307.694696388774
"10003",214.141251566137,205.866264213575,235.762216301774,233.078004965561,248.618908515905,227.671533591693
"100033413",21.1602027239266,22.0570997371688,19.5610572477454,15.9642469154494,30.9484118484529,25.9229963990542
"100033414",20.3137946149695,24.8142372043149,23.6791745630603,21.2856625539325,17.53743338079,18.0333887993421
"100033415",13.542529743313,11.9475956909664,12.3543519459445,12.7713975323595,11.3477510110994,13.5250415995065
"100033416",47.3988541015955,60.6570242772141,44.2697611396344,44.6998913632583,41.2645491312706,36.0667775986841
"100033418",33.0099162493254,27.571374671461,37.0630558378335,41.5070419801684,37.1380942181435,36.0667775986841
"100033419",53.3237108642949,48.7094285862477,42.210702481977,38.3141925970785,30.9484118484529,31.5584303988486
"100033420",8.46408108957062,11.9475956909664,12.3543519459445,7.44998189387638,6.18968236969059,12.3979547995477
"100033425",37.2419567941107,35.8427870728992,49.4174077837779,48.9570238740448,59.8335962403423,46.210558798314
"100033426",48.2452622105526,71.6855741457985,54.5650544279215,56.4070057679211,51.5806864140882,52.9730795980673
"100033429",15.2353459612271,9.19045822382032,16.4724692612593,9.57854814926963,14.4425921959447,11.2708679995888
"100033430",138.810929868958,146.128285758743,123.543519459445,131.971107834382,166.089810253364,139.758763194901
"100033431",132.039664997302,144.290194113979,162.665633954936,154.321053516011,154.742059242265,144.267110394736
"100033432",134.578889324173,109.366452863462,130.750224761246,130.906824706685,123.793647393812,114.962853595806
"100033433",15.2353459612271,22.0570997371688,11.3248226171158,19.1570962985393,11.3477510110994,14.6521283994654
"100033434",10.1568973074847,15.6237789804945,12.3543519459445,10.6428312769663,11.3477510110994,12.3979547995477
"100033435",26.2386513776689,21.1380539147867,16.4724692612593,27.6713613201123,21.6638882939171,12.3979547995477
"100033438",57.5557514090802,45.9522911191016,53.5355250990928,41.5070419801684,53.6439138706518,50.7189059981495
