"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SYMBOL","GENENAME","GeneType","ENTREZID","Regulation","minusLog10P","minusLog10FDR","Gene_Label"
"23586",2211.73338678859,3.03241969617907,0.0703614721135298,43.1842463876125,0,0,"RIGI","RNA sensor RIG-I","protein-coding","23586","Up in ZIKV",293.418487455858,290.042133583132,"RIGI"
"3433",934.622943436622,4.2746199232636,0.108139341232036,39.5956068608252,0,0,"IFIT2","interferon induced protein with tetratricopeptide repeats 2","protein-coding","3433","Up in ZIKV",293.418487455858,290.042133583132,"IFIT2"
"3437",1263.91589022325,3.83463071294712,0.0889593320208341,43.1796550503733,0,0,"IFIT3","interferon induced protein with tetratricopeptide repeats 3","protein-coding","3437","Up in ZIKV",293.418487455858,290.042133583132,"IFIT3"
"4940",6760.61079849143,2.19097925848884,0.051914394489162,42.2726876509318,0,0,"OAS3","2'-5'-oligoadenylate synthetase 3","protein-coding","4940","Up in ZIKV",293.418487455858,290.042133583132,"OAS3"
"54625",5821.89271227229,2.01998191654787,0.0511482906443275,39.5670605301873,0,0,"PARP14","poly(ADP-ribose) polymerase family member 14","protein-coding","54625","Up in ZIKV",293.418487455858,290.042133583132,"PARP14"
"55601",1796.27586668864,3.14829421323248,0.0745203391658481,42.3254976777261,0,0,"DDX60","DExD/H-box helicase 60","protein-coding","55601","Up in ZIKV",293.418487455858,290.042133583132,"DDX60"
"83666",2164.94227418042,2.83683035119474,0.0660455187448331,43.0279781420219,0,0,"PARP9","poly(ADP-ribose) polymerase family member 9","protein-coding","83666","Up in ZIKV",293.418487455858,290.042133583132,"PARP9"
"85441",1779.23433230436,3.39288746859682,0.0834704747215346,40.7320153843569,0,0,"HELZ2","helicase with zinc finger 2","protein-coding","85441","Up in ZIKV",293.418487455858,290.042133583132,"HELZ2"
"91351",3095.64758126311,2.04387333552096,0.0558852934856796,36.6549574352911,3.81515813805839e-294,9.07541339752133e-291,"DDX60L","DExD/H-box 60 like","protein-coding","91351","Up in ZIKV",293.418487455858,290.042133583132,"DDX60L"
"3434",3203.33648460352,5.99887199694484,0.16740158692795,35.9460161757225,5.84133763162765e-283,1.25057197355516e-279,"IFIT1","interferon induced protein with tetratricopeptide repeats 1","protein-coding","3434","Up in ZIKV",282.233487690642,278.902891308477,"IFIT1"
