"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SYMBOL","GENENAME","GeneType","ENTREZID","Regulation","minusLog10P","minusLog10FDR"
"4939",492.757794803391,6.24303975747983,0.242146887358621,25.7921240936201,1.08679477744126e-146,8.02316875525514e-144,"OAS2","2'-5'-oligoadenylate synthetase 2","protein-coding","4939","Up in ZIKV",145.963852457238,143.095654072972
"6772",9940.22823365626,1.52991496116643,0.0608504792248016,25.2584742356505,9.14057564141261e-141,6.52301946356675e-138,"STAT1","signal transducer and activator of transcription 1","protein-coding","6772","Up in ZIKV",140.039026453061,137.185551325616
"24138",1121.28827078492,2.05722573382527,0.0822570881072743,25.1248963310265,2.65884443054947e-139,1.83623227140753e-136,"IFIT5","interferon induced protein with tetratricopeptide repeats 5","protein-coding","24138","Up in ZIKV",138.575307072571,135.73607238424
"10379",979.785118325338,1.91706735484869,0.0774595458501197,24.8668605375684,1.69937084233964e-136,1.13693219886404e-133,"IRF9","interferon regulatory factor 9","protein-coding","10379","Up in ZIKV",135.769711837607,132.944265433762
"25939",973.675755806038,1.94165150189913,0.0791871496845752,24.6324879233688,5.66990792489424e-134,3.67839572012306e-131,"SAMHD1","SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1","protein-coding","25939","Up in ZIKV",133.246423993671,130.434341551384
"129607",311.865748919126,5.13754362207141,0.217422280658113,23.6813502820813,5.61320293704934e-124,3.53450181409674e-121,"CMPK2","cytidine/uridine monophosphate kinase 2","protein-coding","129607","Up in ZIKV",123.250789256222,120.451671791099
"103",9327.16448605018,1.02890362371357,0.0446445143270131,23.1758541208592,7.978603836649e-119,4.88039798682339e-116,"ADAR","adenosine deaminase RNA specific","protein-coding","103","Up in ZIKV",118.09807309851,115.311544760695
"3430",762.467366443696,1.9313297521952,0.0840853292214516,23.0957012817728,5.11423712941708e-118,3.04140840843584e-115,"IFI35","interferon induced protein 35","protein-coding","3430","Up in ZIKV",117.291219139116,114.516925257718
"9830",2448.40060058769,1.3927331462838,0.0631520311607243,22.1882380075713,4.46133263802977e-109,2.58142352561025e-106,"TRIM14","tripartite motif containing 14","protein-coding","9830","Up in ZIKV",108.350535394451,105.588140736353
"7706",3051.41431021605,1.18524848136898,0.0543544106615637,21.9391441114273,1.09951258634357e-106,6.19459604237621e-104,"TRIM25","tripartite motif containing 25","protein-coding","7706","Up in ZIKV",105.958799794818,103.20798700927
"57169",3235.87942498449,1.13532051012003,0.0530694338751476,21.5279708152185,8.51824438225521e-103,4.67607933281286e-100,"ZNFX1","zinc finger NFX1-type containing 1","protein-coding","57169","Up in ZIKV",102.06964990449,99.3301181293514
"8638",271.104452706371,5.59845591816055,0.262892797260278,21.291207058624,1.36954810228935e-100,7.33016383047819e-98,"OASL","2'-5'-oligoadenylate synthetase like","protein-coding","8638","Up in ZIKV",99.8634227095276,97.1348863186907
"6672",1335.23973423435,1.58880180628855,0.0780578898113662,20.4927653877957,2.49794040810059e-93,1.30435137065916e-90,"SP100","SP100 nuclear antigen","protein-coding","6672","Up in ZIKV",92.6024179265471,89.884605401102
"10346",232.664176770926,3.70561690610689,0.183554133209093,20.2966607783854,1.37625144573364e-91,7.01527790516942e-89,"TRIM22","tripartite motif containing 22","protein-coding","10346","Up in ZIKV",90.8613022117994,88.1539551200325
"105374071",274.608229462719,2.86263492793901,0.142919917855631,20.1603593810661,2.18290842271214e-90,1.08683456794986e-87,"LOC105374071","uncharacterized LOC105374071","ncRNA","105374071","Up in ZIKV",89.6609644834136,86.9638365568284
"87178",2684.62788307156,1.28887497764877,0.0645484750184093,20.1121011201147,5.78218993311339e-90,2.81342964268238e-87,"PNPT1","polyribonucleotide nucleotidyltransferase 1","protein-coding","87178","Up in ZIKV",89.2379076467456,86.5507639410669
"84875",276.993894113962,2.85310715981974,0.144487772945433,19.8813836499781,5.89845822035547e-88,2.80622426754645e-85,"PARP10","poly(ADP-ribose) polymerase family member 10","protein-coding","84875","Up in ZIKV",87.2292614924078,84.5518776240183
"8519",308.568345908644,2.48351624407529,0.126157435049807,19.8213950663241,1.94637637864232e-87,9.05868954138117e-85,"IFITM1","interferon induced transmembrane protein 1","protein-coding","8519","Up in ZIKV",86.710773174673,84.0429346241897
"3429",242.864207169695,5.70525924423623,0.288135383934963,19.811368651757,2.3753862538764e-87,1.08201370870723e-84,"IFI27","interferon alpha inducible protein 27","protein-coding","3429","Up in ZIKV",86.6242657610758,83.9657672368466
"3665",573.148469496767,2.16619816882988,0.110316004718344,19.7774834662051,4.6534137226835e-87,2.07551946643606e-84,"IRF7","interferon regulatory factor 7","protein-coding","3665","Up in ZIKV",86.3322283337786,83.6828731889893
"10964",474.848158609185,7.73505311472216,0.390282646147048,19.7195717736919,1.46463235636784e-86,6.39924777907739e-84,"IFI44L","interferon induced protein 44 like","protein-coding","10964","Up in ZIKV",85.8342713757455,83.1938710736092
"3428",570.473020587165,1.93877715379911,0.101437209360347,19.2755453997716,8.61870932818028e-83,3.69035896014023e-80,"IFI16","interferon gamma inducible protein 16","protein-coding","3428","Up in ZIKV",82.0645577659175,79.4329313880886
"11274",466.058212680999,1.99530034687679,0.107031928632089,18.7939313393244,8.46684532007497e-79,3.55424885210755e-76,"USP18","ubiquitin specific peptidase 18","protein-coding","11274","Up in ZIKV",78.072278374237,75.4492521681701
