"Column_Names"
"GeneID"
"Symbol"
"Description"
"Synonyms"
"GeneType"
"EnsemblGeneID"
"Status"
"ChrAcc"
"ChrStart"
"ChrStop"
"Orientation"
"Length"
"GOFunctionID"
"GOProcessID"
"GOComponentID"
"GOFunction"
"GOProcess"
"GOComponent"
