"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SYMBOL","ENTREZID","GENENAME","Regulation","minusLog10P","minusLog10FDR"
"ENSG00000167658",33027.1196311149,-1.84985934346319,0.184655818477256,-10.1584830866101,3.03765634810531e-24,3.23621148960907e-23,"EEF2","1938","eukaryotic translation elongation factor 2","Down in ZIKV",23.5174613596909,22.4899631045601
"ENSG00000138029",3113.13618226561,-1.67738704470778,0.167158970741093,-10.1582899573106,3.04367851596816e-24,3.24093930474382e-23,"HADHB","3032","hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit beta","Down in ZIKV",23.51660122119,22.4893291022173
"ENSG00000188986",2006.77467071764,-1.9258991445095,0.192425772036207,-10.1537523617151,3.18862330133429e-24,3.39351142709641e-23,"NELFB","25920","negative elongation factor complex member B","Down in ZIKV",23.4963967845561,22.4693506840542
"ENSG00000271991",90.3593765416215,5.03787785185993,0.503804692353407,10.1536291631152,3.1926525313815e-24,3.39603263283456e-23,"ENSG00000271991",NA,NA,"Up in ZIKV",23.4958483448226,22.4690281452267
"ENSG00000102543",440.954376531321,2.30520970914815,0.230882321426168,10.1531012499738,3.20997520127699e-24,3.41268413420586e-23,"CDADC1","81602","cytidine and dCMP deaminase domain containing 1","Up in ZIKV",23.4934983227323,22.4669039065997
"ENSG00000121417",647.37163552657,2.04159975054662,0.204142260243899,10.1529697683356,3.2143040336963e-24,3.41551111736404e-23,"ZNF211","10520","zinc finger protein 211","Up in ZIKV",23.4929130467041,22.4665442967142
"ENSG00000183671",98.2941327874797,6.46935535144051,0.636463298958427,10.1507453966807,3.2884206838525e-24,3.49245301600223e-23,"CMKLR2","2825","chemerin chemokine-like receptor 2","Up in ZIKV",23.4830126287874,22.4568694277415
"ENSG00000139154",2471.32580410523,1.5258825404327,0.151885066606358,10.1492705811326,3.33849268375769e-24,3.54379179274849e-23,"AEBP2","121536","AE binding protein 2","Up in ZIKV",23.4764495711774,22.4505318019985
"ENSG00000145545",577.011295954061,-1.90625074472315,0.19060752742917,-10.1476583375977,3.39409490733286e-24,3.60094457103182e-23,"SRD5A1","6715","steroid 5 alpha-reductase 1","Down in ZIKV",23.469276017895,22.4435835636274
"ENSG00000134569",494.640306097052,-2.44489768163793,0.245540239416713,-10.1466862038227,3.42806364064667e-24,3.63509806995478e-23,"LRP4","4038","LDL receptor related protein 4","Down in ZIKV",23.4649511241686,22.4394838679781
