"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SYMBOL","ENTREZID","GENENAME","Regulation","minusLog10P","minusLog10FDR"
"ENSG00000137965",1260.08068850823,7.37093039816267,0.325313675157684,22.7535522564406,1.3233885595752e-114,7.961739113562e-112,"IFI44","10561","interferon induced protein 44","Up in ZIKV",113.878312624064,111.098992057271
"ENSG00000173114",747.909577676175,5.98506808787457,0.264448104675036,22.7237616981772,2.60881979285712e-114,1.52466882465407e-111,"LRRN3","54674","leucine rich repeat neuronal 3","Up in ZIKV",113.58355591924,110.816824479756
"ENSG00000206344",621.609075426509,6.16404913452224,0.274448960908567,22.5304431642402,2.08856386696195e-112,1.12425194470281e-109,"HCG27","253018","HLA complex group 27","Up in ZIKV",111.680152239745,108.949136352528
"ENSG00000272501",696.920449414695,5.72203185723308,0.256062393795214,22.4314412827902,1.94241827828255e-111,9.93304147056741e-109,"ENSG00000272501",NA,NA,"Up in ZIKV",110.711657243846,108.00291775134
"ENSG00000105327",3058.4820158153,3.73691899436085,0.167777217863039,22.370832940019,7.57099459289031e-111,3.77718766823345e-108,"BBC3","27113","BCL2 binding component 3","Up in ZIKV",110.120847063983,107.422831436869
"ENSG00000134326",684.333989049187,6.5546194231188,0.296247280362464,22.2003251365936,3.40975335161084e-109,1.62201173970232e-106,"CMPK2","129607","cytidine/uridine monophosphate kinase 2","Up in ZIKV",108.467277035057,105.789946006802
"ENSG00000157601",952.995746711853,5.0566939851441,0.229255905445127,22.1675066525636,7.07208876904035e-109,3.28771763115273e-106,"MX1","4599","MX dynamin like GTPase 1","Up in ZIKV",108.150452296685,105.483105489337
"ENSG00000135114",11462.1824581715,7.85841043992577,0.35721806106752,22.1243843905651,1.84133964506376e-108,8.18795705212591e-106,"OASL","8638","2'-5'-oligoadenylate synthetase like","Up in ZIKV",107.734866096139,105.086824443986
"ENSG00000169554",1739.66579228395,4.24157988582015,0.193517344954748,22.0302704473705,1.47688956948084e-107,6.42761194547461e-105,"ZEB2","9839","zinc finger E-box binding homeobox 2","Up in ZIKV",106.830651976698,104.191950350799
"ENSG00000164794",713.990918812359,5.26830923834142,0.243715112290704,21.7148672150393,1.48471447471556e-104,5.95486952555036e-102,"KCNV1","27012","potassium voltage-gated channel modifier subfamily V member 1","Up in ZIKV",103.828357057443,101.225127749707
"ENSG00000234465",807.277892649652,7.28256065985874,0.337228853794107,21.6553084638356,5.41674025349524e-104,2.13075811317779e-101,"PINLYP","390940","phospholipase A2 inhibitor and LY6/PLAUR domain containing","Up in ZIKV",103.266261989441,100.671465849242
"ENSG00000162654",1049.35869579,8.3949098140936,0.388081559765661,21.6207008545733,1.14721968848061e-103,4.42761862790017e-101,"GBP4","115361","guanylate binding protein 4","Up in ZIKV",102.94035340829,100.353829794056
"ENSG00000216775",1095.11102165462,3.86078174086213,0.181655986607868,21.3624028881999,2.99026659381095e-101,1.11210733048006e-98,"ENSG00000216775",NA,NA,"Up in ZIKV",100.52429009092,97.9538532965797
"ENSG00000079335",932.395879230214,3.84652092412982,0.181146853964164,21.3405476682148,4.77322838101391e-101,1.71291906199368e-98,"CDC14A","8556","cell division cycle 14A","Up in ZIKV",100.32118778578,97.7662631576182
"ENSG00000138646",2431.50207342829,4.46582097322664,0.210637851944991,21.3132799853472,8.54914608183374e-101,3.01504798455016e-98,"HERC5","51191","HECT and RLD domain containing E3 ubiquitin protein ligase 5","Up in ZIKV",100.068077261935,97.5207057716633
"ENSG00000182575",696.4656781205,6.32222662783846,0.298476957629429,21.2856202535721,1.54291940374849e-100,5.349223119267e-98,"NXPH3","11248","neurexophilin 3","Up in ZIKV",99.8116567592392,97.2717092870469
"ENSG00000206337",503.922837482955,6.14395237907567,0.29093829394088,21.1835231876021,1.35508704148445e-99,4.47069442476847e-97,"HCP5","10866","HLA complex P5","Up in ZIKV",98.8680328077989,96.3496250134628
"ENSG00000268510",941.71114927774,7.50299967806895,0.355749277983905,21.1574336093558,2.35707503882286e-99,7.65301109827327e-97,"ENSG00000268510",NA,NA,"Up in ZIKV",98.6276265912441,96.1161676568632
"ENSG00000165312",2806.94042620173,4.33998658298106,0.207755936723138,21.0070515162495,5.6538093225838e-98,1.77921030297618e-95,"OTUD1","220213","OTU deubiquitinase 1","Up in ZIKV",97.2476588423881,94.7497727151965
