"","GSM8231986","GSM8231987","GSM8231988","GSM8231989","GSM8231990","GSM8231991"
"ENSG00000006625",87,198,76,523,1239,710
"ENSG00000006634",557,819,445,664,710,943
"ENSG00000006638",18,13,10,48,36,35
"ENSG00000006652",5009,7076,3841,953,1242,1174
"ENSG00000006695",723,952,628,666,668,704
"ENSG00000006704",724,631,503,1103,1238,1187
"ENSG00000006712",4028,5854,3680,2742,2859,3483
"ENSG00000006715",884,1136,760,1637,2086,1856
"ENSG00000006740",65,66,61,437,454,432
"ENSG00000006744",1600,2325,1520,4029,5500,5112
"ENSG00000006747",429,329,246,10,5,12
"ENSG00000006756",345,277,243,1437,1306,1117
"ENSG00000006757",141,268,138,206,161,254
"ENSG00000006831",1835,2112,1318,3393,3001,3454
"ENSG00000006837",541,1388,548,38,43,36
"ENSG00000007001",56,57,58,1,0,4
"ENSG00000007047",368,401,325,728,617,603
"ENSG00000007080",858,1877,908,1757,1920,2510
"ENSG00000007168",3309,4687,2894,5757,7986,5667
"ENSG00000007171",18,19,15,11,22,16
"ENSG00000007174",31,22,24,4,3,3
"ENSG00000007202",1048,1144,960,5404,5775,4958
"ENSG00000007237",392,233,218,82,31,29
"ENSG00000007255",217,391,175,917,1082,962
"ENSG00000007341",539,1083,537,259,282,295
"ENSG00000007350",19,27,10,0,0,0
"ENSG00000007372",43,59,44,169,137,135
"ENSG00000007376",337,595,322,786,1189,944
"ENSG00000007384",2036,2295,1791,1208,1149,1050
"ENSG00000007392",3056,4967,2812,1461,2519,1834
"ENSG00000007402",69,52,50,66,59,40
"ENSG00000007516",95,107,85,71,64,40
"ENSG00000007520",666,1181,531,1108,2782,1346
"ENSG00000007541",543,672,485,1133,1429,1115
"ENSG00000007545",926,899,721,453,525,370
"ENSG00000007866",195,238,161,324,270,313
"ENSG00000007923",573,620,512,1043,1389,1200
"ENSG00000007944",1041,1160,716,340,278,254
"ENSG00000007952",5,31,8,32,29,44
"ENSG00000007968",43,45,54,362,605,417
"ENSG00000008018",1299,2451,1205,2558,3551,3533
"ENSG00000008083",535,464,333,776,748,718
"ENSG00000008086",1057,884,780,762,920,773
"ENSG00000008118",79,61,47,7,1,1
"ENSG00000008128",66,93,82,26,77,41
"ENSG00000008130",836,962,787,1469,1886,1596
"ENSG00000008226",14,7,17,21,8,6
"ENSG00000008256",1509,1400,1157,2296,1874,1940
"ENSG00000008277",23,28,23,112,131,124
"ENSG00000008282",1112,1669,967,3644,3267,3347
"ENSG00000008283",1636,2386,1602,1158,1662,1268
"ENSG00000008294",12890,12796,9537,5371,4906,4636
"ENSG00000008300",1326,1135,1285,895,1186,858
"ENSG00000008311",272,161,141,41,38,34
"ENSG00000008323",228,280,217,160,95,76
"ENSG00000008324",369,692,246,246,294,303
"ENSG00000008382",71,60,58,169,312,214
"ENSG00000008394",937,1527,890,9857,8915,11107
"ENSG00000008405",3669,4266,2746,802,1082,994
"ENSG00000008438",3,4,12,10,17,14
"ENSG00000008441",208,202,273,412,424,333
"ENSG00000008513",385,473,361,447,594,455
"ENSG00000008516",269,232,195,43,75,44
"ENSG00000008517",4324,9036,4397,265,221,183
"ENSG00000008710",1394,1016,1202,2280,3880,2104
"ENSG00000008735",1709,1880,1589,192,235,147
"ENSG00000008838",2108,2604,2042,2684,3026,2553
"ENSG00000008853",423,225,311,1288,1047,950
"ENSG00000008869",963,895,723,1088,993,957
"ENSG00000008952",3236,4791,2870,4675,3137,4696
"ENSG00000008988",4738,11091,4205,14523,22539,20279
"ENSG00000009307",2662,3705,2428,9300,10021,10714
"ENSG00000009335",1900,2053,1537,3816,3930,4030
"ENSG00000009413",1632,1552,1327,571,627,560
"ENSG00000009709",4,10,6,37,36,37
"ENSG00000009724",135,76,99,63,19,24
"ENSG00000009780",299,382,209,196,157,184
"ENSG00000009790",35,36,30,0,5,0
"ENSG00000009830",606,688,512,2239,2112,1762
"ENSG00000009844",821,1341,731,1262,1398,1811
"ENSG00000009950",98,85,87,132,164,170
"ENSG00000009954",2950,3140,2743,5084,7075,5582
"ENSG00000010017",454,488,327,709,642,690
"ENSG00000010030",315,346,171,4,6,2
"ENSG00000010072",671,821,559,528,697,677
"ENSG00000010165",779,1155,655,1657,2511,2192
"ENSG00000010219",525,749,432,323,260,419
"ENSG00000010244",5883,8604,5199,5084,4341,5171
"ENSG00000010256",1613,3260,1618,5063,5800,6104
"ENSG00000010270",1062,1556,769,1488,1563,1676
"ENSG00000010278",1016,1742,893,5008,3562,4745
"ENSG00000010292",1490,1782,1528,6627,8252,7747
"ENSG00000010295",99,97,74,107,65,67
"ENSG00000010310",635,476,377,122,105,109
"ENSG00000010318",79,55,45,126,125,131
"ENSG00000010319",6,10,11,16,41,23
"ENSG00000010322",1875,1917,1605,1667,1857,1442
"ENSG00000010361",220,373,208,340,467,433
"ENSG00000010379",158,154,107,8,2,7
